dataset,column,inferred_type,description,nullable_observed,example
patient_support_cases.csv,free_text,string,Synthetic source field; interpret in dataset and case context,no,"Cancer diagnosis, job loss, spouse details and bank hardship discussed"
patient_support_cases.csv,purpose,string,Synthetic source field; interpret in dataset and case context,no,copay support
portfolio_products.csv,product_id,string,Identifier,no,NCX-101
portfolio_products.csv,modality,string,Synthetic source field; interpret in dataset and case context,no,small_molecule
portfolio_products.csv,stage,string,Synthetic source field; interpret in dataset and case context,no,marketed
portfolio_products.csv,patent_months,integer,Synthetic source field; interpret in dataset and case context,no,19
portfolio_products.csv,primary_market,string,Synthetic source field; interpret in dataset and case context,no,US/EU
portfolio_products.csv,risk,string,Synthetic source field; interpret in dataset and case context,no,label divergence
preclinical_studies.csv,study_id,string,Identifier,no,PC-88
preclinical_studies.csv,cro,string,Synthetic source field; interpret in dataset and case context,no,CRO-7
preclinical_studies.csv,endpoint,string,Synthetic source field; interpret in dataset and case context,no,tumour_volume
preclinical_studies.csv,status,string,Source-record lifecycle or business status,no,reported
preclinical_studies.csv,report,string,Synthetic source field; interpret in dataset and case context,no,PC88_final.pdf
privacy_risk.csv,dataset,string,Synthetic source field; interpret in dataset and case context,no,genomic_data.csv
privacy_risk.csv,risk,string,Synthetic source field; interpret in dataset and case context,no,singling_out
privacy_risk.csv,likelihood,string,Synthetic source field; interpret in dataset and case context,no,high
privacy_risk.csv,impact,string,Synthetic source field; interpret in dataset and case context,no,high
privileged_sessions.csv,session_id,string,Identifier,no,PS-901
privileged_sessions.csv,user,string,User or account identifier,no,svc_admin
privileged_sessions.csv,purpose,string,Synthetic source field; interpret in dataset and case context,no,master data repair
privileged_sessions.csv,approved_window,string,Approval state,no,00:00-00:30Z
privileged_sessions.csv,actual_end,string,Synthetic source field; interpret in dataset and case context,no,00:58Z
processing_events.csv,event_id,string,Identifier,no,PE-9
processing_events.csv,specimen_id,string,Identifier,no,SP-044-A
processing_events.csv,purpose,string,Synthetic source field; interpret in dataset and case context,no,biomarker_model
processing_events.csv,status,string,Source-record lifecycle or business status,no,completed
processing_events.csv,consent_check,string,Synthetic source field; interpret in dataset and case context,no,cached_active
product_complaints.csv,complaint_id,string,Identifier,no,PC-701
product_complaints.csv,product,string,Product identifier or alias,no,NCS-310
product_complaints.csv,lot,string,Synthetic source field; interpret in dataset and case context,no,NCS310-S26033
product_complaints.csv,issue,string,Synthetic source field; interpret in dataset and case context,no,visible particles
product_complaints.csv,adverse_event_link,string,Synthetic source field; interpret in dataset and case context,no,possible
product_labels.csv,product,string,Product identifier or alias,no,NCB-204
product_labels.csv,market,string,Synthetic source field; interpret in dataset and case context,no,EU
product_labels.csv,version,integer,Source version,no,6
product_labels.csv,risk_text,string,Synthetic source field; interpret in dataset and case context,no,severe infusion reactions including anaphylaxis
product_labels.csv,status,string,Source-record lifecycle or business status,no,approved
product_master_aliases.csv,alias,string,Synthetic source field; interpret in dataset and case context,no,brand_alias_B
product_master_aliases.csv,canonical_product,string,Product identifier or alias,no,NCB-204
production_schedule.csv,equipment,string,Synthetic source field; interpret in dataset and case context,no,BLEND-04
production_schedule.csv,campaign,string,Synthetic source field; interpret in dataset and case context,no,C-882
production_schedule.csv,product_sequence,string,Product identifier or alias,no,NCX-101>HP-NEW>NCX-101
production_schedule.csv,start,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-08-04
protocol_versions.csv,trial_id,string,Identifier,no,NCB204-301
protocol_versions.csv,version,number,Source version,no,5.0
protocol_versions.csv,effective_date,date_or_datetime,Source-record date,no,2026-06-01
protocol_versions.csv,status,string,Source-record lifecycle or business status,no,global_current
quality_events.csv,event_id,string,Identifier,no,QE-100
quality_events.csv,type,string,Synthetic source field; interpret in dataset and case context,no,deviation
quality_events.csv,object,string,Synthetic source field; interpret in dataset and case context,no,NCB204-B24071
quality_events.csv,severity,string,Synthetic source field; interpret in dataset and case context,no,major
quality_events.csv,status,string,Source-record lifecycle or business status,no,open
randomization_events.csv,event_id,string,Identifier,no,IRT-9001
randomization_events.csv,subject_id,string,Identifier,no,S-301-118
randomization_events.csv,kit,string,Synthetic source field; interpret in dataset and case context,no,K-7701
randomization_events.csv,method,string,Synthetic source field; interpret in dataset and case context,no,manual_downtime_log
randomization_events.csv,time,date_or_datetime,Source event time,no,2026-07-24T14:12:00+02:00
reagent_lots.csv,reagent_lot,string,Synthetic source field; interpret in dataset and case context,no,RG-77
reagent_lots.csv,expiry,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-08-31
reagent_lots.csv,coa_status,string,Source-record lifecycle or business status,no,verified
recall_candidates.csv,lot,string,Synthetic source field; interpret in dataset and case context,no,NCS310-S26033
recall_candidates.csv,shared_component,string,Synthetic source field; interpret in dataset and case context,no,VIAL-V19
recall_candidates.csv,shared_equipment,string,Synthetic source field; interpret in dataset and case context,no,FF-02
recall_candidates.csv,distribution,string,Synthetic source field; interpret in dataset and case context,no,not shipped
recipes.csv,recipe_id,string,Identifier,no,NCB-UP-19
recipes.csv,pat_model_version,number,Source version,no,2.3
recipes.csv,effective_date,date_or_datetime,Source-record date,no,2026-06-01
regional_rules.csv,region,string,Region context,no,EU
regional_rules.csv,role,string,Role or accountable function,no,Qualified Person
regional_rules.csv,rule,string,Synthetic source field; interpret in dataset and case context,no,batch certification human-only
regulatory_changes.csv,change_id,string,Identifier,no,RC-19
regulatory_changes.csv,change,string,Synthetic source field; interpret in dataset and case context,no,PAT model and control limit update
regulatory_changes.csv,EU_classification,string,Synthetic source field; interpret in dataset and case context,no,Type II proposed
regulatory_changes.csv,US_classification,string,Synthetic source field; interpret in dataset and case context,no,CBE-30 proposed
regulatory_changes.csv,dispute,string,Synthetic source field; interpret in dataset and case context,no,open
regulatory_commitments.csv,commitment_id,string,Identifier,no,PMC-88
regulatory_commitments.csv,product,string,Product identifier or alias,no,NCB-204
regulatory_commitments.csv,tracker_due,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-10-15
regulatory_commitments.csv,authority_letter_due,date_or_datetime,Document or decision authority,no,2026-09-30
regulatory_commitments.csv,status,string,Source-record lifecycle or business status,no,open
release_packets.csv,batch_id,string,Identifier,no,NCB204-B24071
release_packets.csv,packet_item,string,Synthetic source field; interpret in dataset and case context,no,CMO audit commitment 2025-14
release_packets.csv,status,string,Source-record lifecycle or business status,no,missing
retention_rules.csv,record_type,string,Synthetic source field; interpret in dataset and case context,no,clinical_trial_source
retention_rules.csv,rule,string,Synthetic source field; interpret in dataset and case context,no,25 years EU minimum scenario
retention_rules.csv,action,string,Synthetic source field; interpret in dataset and case context,no,retain
retirement_assets.csv,asset,string,Synthetic source field; interpret in dataset and case context,no,model cards
retirement_assets.csv,retention,string,Synthetic source field; interpret in dataset and case context,no,required
returns.csv,return_id,string,Identifier,no,RT-1
returns.csv,serial,string,Synthetic source field; interpret in dataset and case context,no,SN-10001
returns.csv,print_score,number,Synthetic source field; interpret in dataset and case context,no,0.44
returns.csv,distribution_match,boolean_like,Synthetic source field; interpret in dataset and case context,no,no
reviewer_feedback.csv,output_id,string,Identifier,no,CO-1
reviewer_feedback.csv,reviewer,string,Synthetic source field; interpret in dataset and case context,no,QR-11
reviewer_feedback.csv,action,string,Synthetic source field; interpret in dataset and case context,no,accepted
reviewer_feedback.csv,review_seconds,integer,Synthetic source field; interpret in dataset and case context,no,19
reviewer_feedback.csv,comment,string,Synthetic source field; interpret in dataset and case context,no,looked complete
safety_receipts.csv,case_id,string,Identifier,no,PV-1001
safety_receipts.csv,channel,string,Synthetic source field; interpret in dataset and case context,no,vendor
safety_receipts.csv,receipt,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-07-19T20:01:00Z
security_events.csv,event_id,string,Identifier,no,SEC-1
security_events.csv,type,string,Synthetic source field; interpret in dataset and case context,no,cross_affiliate_narrative_query
security_events.csv,tokens,integer,Synthetic source field; interpret in dataset and case context,no,48900
security_events.csv,blocked,boolean_like,Synthetic source field; interpret in dataset and case context,no,no
sensitive_segments.csv,case_id,string,Identifier,no,PV-1020
sensitive_segments.csv,segment,string,Synthetic source field; interpret in dataset and case context,no,pregnancy
sensitive_segments.csv,access_group,string,Synthetic source field; interpret in dataset and case context,no,PV_PREGNANCY
serialisation_events.csv,serial,string,Synthetic source field; interpret in dataset and case context,no,SN-10001
serialisation_events.csv,event,string,Synthetic source field; interpret in dataset and case context,no,commission
serialisation_events.csv,case,string,Synthetic source field; interpret in dataset and case context,no,CS-77
serialisation_events.csv,pallet,string,Synthetic source field; interpret in dataset and case context,yes,P-88
shipments.csv,shipment_id,string,Identifier,no,SH-901
shipments.csv,product,string,Product identifier or alias,no,NCB-204
shipments.csv,lots,string,Synthetic source field; interpret in dataset and case context,no,NCB204-B24062
shipments.csv,lane,string,Synthetic source field; interpret in dataset and case context,no,IE>DE
shipments.csv,status,string,Source-record lifecycle or business status,no,quarantine
shipments.csv,logger,string,Synthetic source field; interpret in dataset and case context,no,LG-31
shipments.csv,pallet,string,Synthetic source field; interpret in dataset and case context,no,P-88
signal_metrics.csv,signal,string,Synthetic source field; interpret in dataset and case context,no,NCB204_anaphylaxis
signal_metrics.csv,method,string,Synthetic source field; interpret in dataset and case context,no,ROR_raw
signal_metrics.csv,value,number,Source-reported value,no,3.8
site_approvals.csv,site_id,string,Identifier,no,IN-014
site_approvals.csv,trial_id,string,Identifier,no,NCB204-301
site_approvals.csv,approved_protocol,number,Approval state,no,4.1
site_approvals.csv,ec_status,string,Source-record lifecycle or business status,no,active
site_metrics.csv,site_id,string,Identifier,no,IN-014
site_metrics.csv,enrolment,integer,Synthetic source field; interpret in dataset and case context,no,47
site_metrics.csv,late_source_pct,integer,Originating source,no,31
site_metrics.csv,digit_preference_flag,boolean_like,Synthetic source field; interpret in dataset and case context,no,true
site_metrics.csv,credential_sharing_flag,boolean_like,Synthetic source field; interpret in dataset and case context,no,true
social_listening.csv,post_id,string,Identifier,no,SM-77
social_listening.csv,text,string,Synthetic source field; interpret in dataset and case context,no,Nearly died after Nova infusion
social_listening.csv,identifiable_reporter,boolean_like,Identifier,no,no
social_listening.csv,identifiable_patient,boolean_like,Identifier,no,no
social_listening.csv,country,string,Country context,no,unknown
specimens.csv,specimen_id,string,Identifier,no,SP-044-A
specimens.csv,subject_id,string,Identifier,no,S-301-044
specimens.csv,type,string,Synthetic source field; interpret in dataset and case context,no,plasma
specimens.csv,status,string,Source-record lifecycle or business status,no,processed
specimens.csv,processing_time,date_or_datetime,Source event time,no,2026-07-21T08:00:00Z
spreadsheet_inventory.csv,file,string,Synthetic source field; interpret in dataset and case context,no,Dissolution_Acceptance_v7.xlsm
spreadsheet_inventory.csv,owner,string,Synthetic source field; interpret in dataset and case context,no,QC-IN
spreadsheet_inventory.csv,intended_use,string,Synthetic source field; interpret in dataset and case context,no,batch acceptance calculation
spreadsheet_inventory.csv,version_control,string,Source version,no,email
spreadsheet_inventory.csv,verified,boolean_like,Synthetic source field; interpret in dataset and case context,no,no
staff_rates.csv,role,string,Role or accountable function,no,Quality reviewer
staff_rates.csv,loaded_hourly_usd,integer,Synthetic source field; interpret in dataset and case context,no,92
staff_rosters.csv,shift,string,Synthetic source field; interpret in dataset and case context,no,LAB-NIGHT-7
staff_rosters.csv,staff,string,Synthetic source field; interpret in dataset and case context,no,AN-11;AN-12;AN-13
staff_rosters.csv,account_used,string,Synthetic source field; interpret in dataset and case context,no,lab_shared_night
stakeholders.csv,stakeholder_id,string,Identifier,no,ST-01
stakeholders.csv,role,string,Role or accountable function,no,EU Qualified Person
stakeholders.csv,region,string,Region context,no,EU
stakeholders.csv,priority,string,Synthetic source field; interpret in dataset and case context,no,evidence completeness
subjects.csv,subject_id,string,Identifier,no,S-301-044
subjects.csv,trial_id,string,Identifier,no,NCB204-301
subjects.csv,site_id,string,Identifier,no,IN-014
subjects.csv,status,string,Source-record lifecycle or business status,no,screening
substance_master.csv,substance_id,string,Identifier,no,SUB-0091
substance_master.csv,name,string,Synthetic source field; interpret in dataset and case context,no,nexoradine mesylate
substance_master.csv,source,string,Originating source,no,RIM
substance_master.csv,status,string,Source-record lifecycle or business status,no,approved
supplier_audits.csv,supplier,string,Synthetic source field; interpret in dataset and case context,no,CMO-IE
supplier_audits.csv,audit_id,string,Identifier,no,AUD-2025-14
supplier_audits.csv,commitment,string,Synthetic source field; interpret in dataset and case context,no,audit trail remediation
supplier_audits.csv,due,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-06-30
supplier_audits.csv,status,string,Source-record lifecycle or business status,no,vendor_claims_closed_unverified
supplier_risks.csv,supplier,string,Synthetic source field; interpret in dataset and case context,no,EXCIP-ONE
supplier_risks.csv,material,string,Synthetic source field; interpret in dataset and case context,no,Polysorbate-X
supplier_risks.csv,risk,string,Synthetic source field; interpret in dataset and case context,no,contamination
supplier_risks.csv,recovery_weeks,integer,Synthetic source field; interpret in dataset and case context,no,8
supplier_risks.csv,alternate_qualified,boolean_like,Synthetic source field; interpret in dataset and case context,no,no
support_tickets.csv,ticket_id,string,Identifier,no,SUP-41
support_tickets.csv,system,string,Synthetic source field; interpret in dataset and case context,no,IRT
support_tickets.csv,text,string,Synthetic source field; interpret in dataset and case context,no,Kit pattern suggests active arm; screenshot attached
support_tickets.csv,visibility,string,Synthetic source field; interpret in dataset and case context,no,site_and_vendor
system_inventory.csv,system,string,Synthetic source field; interpret in dataset and case context,no,LIMS-4
system_inventory.csv,owner,string,Synthetic source field; interpret in dataset and case context,no,QC
system_inventory.csv,classification,string,Synthetic source field; interpret in dataset and case context,no,GxP critical
system_inventory.csv,status,string,Source-record lifecycle or business status,no,validated
target_evidence.csv,target,string,Synthetic source field; interpret in dataset and case context,no,TKR9
target_evidence.csv,source,string,Originating source,no,internal_CRISPR
target_evidence.csv,direction,string,Synthetic source field; interpret in dataset and case context,no,supports
target_evidence.csv,confidence,string,Identifier,no,high
temperature_loggers.csv,logger,string,Synthetic source field; interpret in dataset and case context,no,LG-31
temperature_loggers.csv,timestamp,date_or_datetime,Source event time,no,2026-07-29 02:10
temperature_loggers.csv,timezone,string,Source event time,no,local_unknown
temperature_loggers.csv,temp_c,number,Synthetic source field; interpret in dataset and case context,no,10.8
temperature_loggers.csv,pallet,string,Synthetic source field; interpret in dataset and case context,no,P-89
terminology_versions.csv,terminology,string,Synthetic source field; interpret in dataset and case context,no,MedDRA
terminology_versions.csv,version,number,Source version,no,27.1
terminology_versions.csv,status,string,Source-record lifecycle or business status,no,legacy_cases
timezone_rules.csv,site_id,string,Identifier,no,DE-008
timezone_rules.csv,timezone,string,Source event time,no,Europe/Berlin
timezone_rules.csv,dst_transition,string,Synthetic source field; interpret in dataset and case context,no,2026-03-29
tool_catalog.csv,tool_id,string,Identifier,no,batch_status_read
tool_catalog.csv,permissions,string,Synthetic source field; interpret in dataset and case context,no,read batch status
tool_catalog.csv,approved,boolean_like,Approval state,no,yes
tool_catalog.csv,manifest,string,Synthetic source field; interpret in dataset and case context,yes,tool_manifest_poisoned.json
trade_documents.csv,shipment_id,string,Identifier,no,SH-902
trade_documents.csv,document,string,Synthetic source field; interpret in dataset and case context,no,invoice
trade_documents.csv,description,string,Synthetic source field; interpret in dataset and case context,no,sterile research samples
usability_findings.csv,finding,string,Synthetic source field; interpret in dataset and case context,no,keyboard navigation
usability_findings.csv,severity,string,Synthetic source field; interpret in dataset and case context,no,high
usability_findings.csv,status,string,Source-record lifecycle or business status,no,fail
users_entitlements.csv,user,string,User or account identifier,no,contractor_77
users_entitlements.csv,role,string,Role or accountable function,no,supplier_quality_viewer
users_entitlements.csv,iam_state,string,Synthetic source field; interpret in dataset and case context,no,revoked
users_entitlements.csv,ai_gateway_state,string,Synthetic source field; interpret in dataset and case context,no,active_cached
validation_inventory.csv,system,string,Synthetic source field; interpret in dataset and case context,no,AI-EVIDENCE
validation_inventory.csv,source,string,Originating source,no,Quality inventory
validation_inventory.csv,state,string,Synthetic source field; interpret in dataset and case context,no,conditionally_released
validation_tests.csv,test_id,string,Identifier,no,VT-1
validation_tests.csv,system,string,Synthetic source field; interpret in dataset and case context,no,AI-EVIDENCE
validation_tests.csv,requirement,string,Synthetic source field; interpret in dataset and case context,no,citation provenance
validation_tests.csv,result,string,Synthetic source field; interpret in dataset and case context,no,fail_on_superseded_doc
vendor_contracts.csv,vendor,string,Synthetic source field; interpret in dataset and case context,no,CMO-IE
vendor_contracts.csv,service,string,Synthetic source field; interpret in dataset and case context,no,fill_finish
vendor_contracts.csv,exit_days,integer,Synthetic source field; interpret in dataset and case context,no,180
vendor_contracts.csv,data_export,string,Synthetic source field; interpret in dataset and case context,no,PDF/CSV partial
vendor_dependencies.csv,capability,string,Synthetic source field; interpret in dataset and case context,no,model hosting
vendor_dependencies.csv,vendor,string,Synthetic source field; interpret in dataset and case context,no,AIVENDOR-X
vendor_exit_assets.csv,asset,string,Synthetic source field; interpret in dataset and case context,no,prompt_export
vendor_exit_assets.csv,status,string,Source-record lifecycle or business status,no,available
vendor_releases.csv,vendor,string,Synthetic source field; interpret in dataset and case context,no,MESCo
vendor_releases.csv,version,string,Source version,no,11.2.4
vendor_releases.csv,security_fix,string,Synthetic source field; interpret in dataset and case context,no,critical
vendor_releases.csv,validation_pack,string,Identifier,no,partial
warehouse_movements.csv,movement_id,string,Identifier,no,WM-90
warehouse_movements.csv,material_lot,string,Synthetic source field; interpret in dataset and case context,no,SUA-88
warehouse_movements.csv,batch_id,string,Identifier,no,NCB204-B24071
warehouse_movements.csv,quantity,integer,Synthetic source field; interpret in dataset and case context,no,1
warehouse_movements.csv,unit,string,Reported unit; do not silently convert,no,assembly
warehouse_movements.csv,status,string,Source-record lifecycle or business status,no,issued
wearable_readings.csv,subject_id,string,Identifier,no,S-301-118
wearable_readings.csv,device_id,string,Identifier,no,WR-11
wearable_readings.csv,timestamp,date_or_datetime,Source event time,no,2026-03-29 02:15
wearable_readings.csv,timezone,string,Source event time,no,local_unknown
wearable_readings.csv,heart_rate,integer,Synthetic source field; interpret in dataset and case context,no,118
